State,State Name
IN,Indiana
MO,Missouri
TN,Tennessee
NE,Nebraska
AR,Arkansas
MS,Mississippi
PR,Puerto Rico
TX,Texas
MI,Michigan
NC,North Carolina
MT,Montana
WA,Washington
ND,North Dakota
KY,Kentucky
KS,Kansas
LA,Louisiana
FL,Florida
AL,Alabama
PA,Pennsylvania
MN,Minnesota
OR,Oregon
WV,West Virginia
SD,South Dakota
VA,Virginia
ID,Idaho
UT,Utah
WI,Wisconsin
NJ,New Jersey
OH,Ohio
IA,Iowa
CO,Colorado
MD,Maryland
CA,California
IL,Illinois
GA,Georgia
NY,New York
AZ,Arizona
NV,Nevada
AK,Alaska
OK,Oklahoma
VT,Vermont
ME,Maine
SC,South Carolina
HI,Hawaii
DE,Delaware
NH,New Hampshire
MA,Massachusetts
WY,Wyoming
CT,Connecticut
NM,New Mexico
GU,Guam
RI,Rhode Island
FM,Federated States of Micronesia
VI,Virgin Islands
AS,American Samoa
MH,Marshall Islands
DC,District of Columbia
PW,Palau
MP,Northern Mariana Islands
nan,Unknown
UNK,Unknown
